"flatId","builder","builderId","url","address","plz","title","imgurl","addedDate","lastRefresh","rooms","size","rent","funds","purchase_price","deposit","moveInDate","floor","constructionYear","placeLat","placeLong","type","status","typeDescription","prebookingStartString","prebookingStartDate","setToPrebookingFullyBookedDate","setToOfflineDate","setToIrrelevantDate","notes","addedDate2","lastRefresh2","isIrrelevant","isOffline","skipWhileCrawling"
"nhg_1220_stadlauerstrasse25a_11erid21812","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21812","Stadlauer Straße 25a / 1 / 1","1220",NULL,NULL,"1633332824260","1640265071835",2,56.12,473.19,10704.32,NULL,NULL,NULL,NULL,"2008","48.2271435","16.4538293",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288289",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_stadlauerstrasse25a_220erid21859","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21859","Stadlauer Straße 25a / 2 / 20","1220",NULL,NULL,"1633014142649","1634557882515",3,85.67,757.57,17444.1,NULL,NULL,NULL,NULL,"2008","48.2271435","16.4538293",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288034",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_ultzmanngasse86_bt225erid28673","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=28673","Ultzmanngasse 86/BT2 / 2 / 5","1220",NULL,NULL,"1647600802251","1647601042698",4,111,938.55,19872.74,NULL,NULL,NULL,NULL,"2012","48.2058706","16.5247972",NULL,NULL,NULL,NULL,NULL,NULL,"1647644276582",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_wehrbruecklstrasse41_123erid21375","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21375","Wehrbrücklstraße 41 / 1 / 23","1220",NULL,NULL,"1633014142971","1637768471034",3,79.95,576,7904.79,NULL,NULL,NULL,NULL,"1994","48.2193596","16.5287062",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288120",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_wehrbruecklstrasse41_131erid21383","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21383","Wehrbrücklstraße 41 / 1 / 31","1220",NULL,NULL,"1646657482675","1648445225490",1,46.04,332.97,4370.5,NULL,NULL,NULL,NULL,"1994","48.2193596","16.5287062",NULL,NULL,NULL,NULL,NULL,NULL,"1648448844967",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_wehrbruecklstrasse41_135erid21387","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21387","Wehrbrücklstraße 41 / 1 / 35","1220",NULL,NULL,"1633330292621","1637577430177",4,103.5,750,10533.87,NULL,NULL,NULL,NULL,"1994","48.2193596","16.5287062",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288394",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_wehrbruecklstrasse41_15erid21357","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21357","Wehrbrücklstraße 41 / 1 / 5","1220",NULL,NULL,"1633014142932","1633329711113",4,89.11,750,10533.87,NULL,NULL,NULL,NULL,"1994","48.2193596","16.5287062",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288085",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_wehrbruecklstrasse41_214erid21399","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=21399","Wehrbrücklstraße 41 / 2 / 14","1220",NULL,NULL,"1633442377086","1648209592653",1,57.9,424.4,5987.68,NULL,NULL,NULL,NULL,"1994","48.2193596","16.5287062",NULL,NULL,NULL,NULL,NULL,NULL,"1648213403192",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1220_wehrbruecklstrasse41_27fferid878","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=878","Wehrbrücklstraße 41 / 2 / 7","1220",NULL,NULL,"1633014143052","1635926608440",3,83,603,8143.84,NULL,NULL,NULL,NULL,"1994","48.2193596","16.5287062",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288096",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_breitenfurterstr376_1011fferid290","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=290","Breitenfurter Str. 376 / 10 / 11","1230",NULL,NULL,"1633014144335","1636532111485",3,91.23,780.02,19376.25,NULL,NULL,NULL,NULL,"2010","48.1380742","16.275643",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288164",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_breitenfurterstr376_31erid24237","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=24237","Breitenfurter Str. 376 / 3 / 1","1230",NULL,NULL,"1638276084088","1638805141764",4,119.83,1017.13,25229.32,NULL,NULL,NULL,NULL,"2010","48.1380742","16.275643",NULL,NULL,NULL,NULL,NULL,NULL,"1642699289681",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_breitenfurterstr376_31erid28325","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=28325","Breitenfurter Str. 376 / 3 / 1","1230",NULL,NULL,"1637681472441","1638276083543",4,119.83,1017.13,25229.32,NULL,NULL,NULL,NULL,"-","48.1380742","16.275643",NULL,NULL,NULL,NULL,NULL,NULL,"1642699289497",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_haidengasse3_234erid22132","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=22132","Haidengasse 3 / 2 / 34","1230",NULL,NULL,"1633014144632","1634550569559",2,52.23,470.7,7122,NULL,NULL,NULL,NULL,"2009","48.1370485","16.3201164",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288325",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_leomathausergasse39_61ferid5859","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=5859","Leo Mathauser-Gasse 39 / 6 / 1","1230",NULL,NULL,"1646987701609","1646987701824",2,60.83,428.8,3567.28,NULL,NULL,NULL,NULL,"1968","48.1306212","16.3193747",NULL,NULL,NULL,NULL,NULL,NULL,"1647030980084",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_perfektastr_1719ferid6095","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=6095","Perfektastr. / , 17 / 19","1230",NULL,NULL,"1647426875454","1648201624617",3,84.91,784.46,8748.35,NULL,NULL,NULL,NULL,"1998","48.1366889","16.3111807",NULL,NULL,NULL,NULL,NULL,NULL,"1648205234342",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_perfektastr_1734ferid6108","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=6108","Perfektastr. / , 17 / 34","1230",NULL,NULL,"1647426875590","1648202117857",3,99.35,972.79,11166.69,NULL,NULL,NULL,NULL,"1998","48.1366889","16.3111807",NULL,NULL,NULL,NULL,NULL,NULL,"1648205944479",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_perfektastr_1925ferid6069","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=6069","Perfektastr. / , 19 / 25","1230",NULL,NULL,"1648204998905","1648220102756",2,56.25,540.8,6042.64,NULL,NULL,NULL,NULL,"1998","48.1366889","16.3111807",NULL,NULL,NULL,NULL,NULL,NULL,"1648223722039",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_perfektastr_192ferid6046","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=6046","Perfektastr. / , 19 / 2","1230",NULL,NULL,"1648205717765","1648216267533",NULL,59.79,643.62,6898.05,NULL,NULL,NULL,NULL,"1998","48.1366889","16.3111807",NULL,NULL,NULL,NULL,NULL,NULL,"1648219868123",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_perfektastr_2115ferid6030","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=6030","Perfektastr. / , 21 / 15","1230",NULL,NULL,"1646921906160","1648202373484",2,54.21,512.56,5736.8,NULL,NULL,NULL,NULL,"1998","48.1366889","16.3111807",NULL,NULL,NULL,NULL,NULL,NULL,"1648206196148",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_perfektastr_211617ferid6031","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=6031","Perfektastr. / , 21 / 16+17","1230",NULL,NULL,"1634202936473","1634205824386",4,113.82,1065.39,11710.82,NULL,NULL,NULL,NULL,"1998","48.1366889","16.3111807",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288750",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_perfektastr_2116ferid6031","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=6031","Perfektastr. / , 21 / 16","1230",NULL,NULL,"1634205940342","1648125908984",4,89.75,1065.39,11710.82,NULL,NULL,NULL,NULL,"1998","48.1366889","16.3111807",NULL,NULL,NULL,NULL,NULL,NULL,"1648129522688",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_perfektastr_215ferid6020","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=6020","Perfektastr. / , 21 / 5","1230",NULL,NULL,"1634567020617","1638342426365",2,54.28,515.65,5861.61,NULL,NULL,NULL,NULL,"1998","48.1366889","16.3111807",NULL,NULL,NULL,NULL,NULL,NULL,"1642699288994",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_pfarrgasse4_219fferid613","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=613","Pfarrgasse 4 / 2 / 19","1230",NULL,NULL,"1646722750915","1646724914569",3,98.86,741.29,44365.09,NULL,NULL,NULL,NULL,"-","48.1494101","16.3458282",NULL,NULL,NULL,NULL,NULL,NULL,"1646768128027",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_pfarrgasse4_314erid22260","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=22260","Pfarrgasse 4 / 3 / 14","1230",NULL,NULL,"1641377232911","1643882259784",2,67.78,458,26186.19,NULL,NULL,NULL,NULL,"-","48.1494102","16.3458285",NULL,NULL,NULL,NULL,NULL,NULL,"1643925562772",NULL,NULL,NULL,NULL,NULL,True,NULL
"nhg_1230_rodaunerstrasse94_6erid22229","Neue Heimat Gewog","nhg","https://www.nhg.at/Projekte/Details/?id=3&offerId=22229","Rodauner Straße 94 / 6","1230",NULL,NULL,"1638449232245","1644221971486",2,65.67,492.1,10549.56,NULL,NULL,NULL,NULL,"2011","48.1387976","16.2599845",NULL,NULL,NULL,NULL,NULL,NULL,"1644265176377",NULL,NULL,NULL,NULL,NULL,True,NULL
"oesw_1020_innstrasse24_83d88c259c44","ÖSW","oesw","https://www.oesw.at/immobilienangebot/objektdetail/mhimmo/anzeigen/Wohnung.html?tx_mhimmo_pi1%5BerpId%5D=32db9ef3-b508-4cd5-bb2e-1eb760ab28ce&cHash=fae2b040ab508f170090b6d88c259c44","Innstraße 24 / 8 / 3","1020",NULL,NULL,"1646978620696","1648501043674",1,39.37,340.34,11216.82,NULL,NULL,NULL,NULL,NULL,"48.2334045","16.3937863",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL
"oesw_1030_campusviennabiocenter1a_64deef7f5cab","ÖSW","oesw","https://www.oesw.at/immobilienangebot/objektdetail/mhimmo/anzeigen/Wohnung.html?tx_mhimmo_pi1%5BerpId%5D=81ebac4b-9da9-43c7-a1ff-b3c825405363&cHash=70b3e5fb63462c9266fd59deef7f5cab","Campus-Vienna-Biocenter 1A / 64","1030",NULL,NULL,"1647065025330","1647478877701",1,44.94,824,2000,NULL,NULL,NULL,NULL,NULL,"48.1892454","16.4026816",NULL,NULL,NULL,NULL,NULL,NULL,"1647522220708",NULL,NULL,NULL,NULL,NULL,True,NULL
"oesw_1030_campusviennabiocenter1a_65a341fd4610","ÖSW","oesw","https://www.oesw.at/immobilienangebot/objektdetail/mhimmo/anzeigen/Wohnung.html?tx_mhimmo_pi1%5BerpId%5D=c87c7ba1-2e16-4772-be74-9d5c2d0c0d5d&cHash=a280f67b0d8a49d8d857f6a341fd4610","Campus-Vienna-Biocenter 1A / 65","1030",NULL,NULL,"1647065025458","1647478877711",1,36.61,736,2000,NULL,NULL,NULL,NULL,NULL,"48.1892454","16.4026816",NULL,NULL,NULL,NULL,NULL,NULL,"1647522220690",NULL,NULL,NULL,NULL,NULL,True,NULL
"oesw_1030_leopoldboehmstrasse5_4700474944882","ÖSW","oesw","https://www.oesw.at/immobilienangebot/objektdetail/mhimmo/anzeigen/Wohnung.html?tx_mhimmo_pi1%5BerpId%5D=a5832ff5-57f2-4d7b-8d87-e1ba47a572da&cHash=eae475c3513aed252deabf0474944882","Leopold-Böhm-Straße 5 / 470","1030",NULL,NULL,"1648101805164","1648295698213",3,109.5,531.81,941700,NULL,NULL,NULL,NULL,NULL,"48.185294","16.4107564",NULL,NULL,NULL,NULL,NULL,NULL,"1648309025086",NULL,NULL,NULL,NULL,NULL,True,NULL
